Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Nicholls,2-4-0,33.3%,66.7%,-4.3,2-1-0,66.7%,33.3%,3.3,2-2-0,50.0%,50.0%,+0.8,0-2-0,0.0%,100.0%,-10.0,1-2-0,33.3%,66.7%,-9.8,2-2-0,50.0%,50.0%,-1.5,2-3-0,40.0%,60.0%,-1.7,0-1-0,0.0%,100.0%,-17.5,0-2-0,0.0%,100.0%,-10.0,0-1-0,0.0%,100.0%,-11.5,,,,,0-1-0,0.0%,100.0%,-2.5,0-2-0,0.0%,100.0%,-16.8,0-1-0,0.0%,100.0%,-17.5
Santa Clara,3-6-0,33.3%,66.7%,-2.7,1-2-0,33.3%,66.7%,-0.3,2-1-0,66.7%,33.3%,-2.3,1-4-0,20.0%,80.0%,-4.7,1-2-0,33.3%,66.7%,-2.0,0-2-0,0.0%,100.0%,-4.5,0-3-0,0.0%,100.0%,-12.2,3-3-0,50.0%,50.0%,2.1,1-2-0,33.3%,66.7%,+1.8,0-1-0,0.0%,100.0%,-3.0,,,,,2-1-0,66.7%,33.3%,+4.0,0-3-0,0.0%,100.0%,-11.7,1-4-0,20.0%,80.0%,-2.8
Seton Hall,3-6-0,33.3%,66.7%,-15.2,2-4-0,33.3%,66.7%,-13.8,1-3-0,25.0%,75.0%,-11.8,1-3-0,25.0%,75.0%,-23.0,2-2-0,50.0%,50.0%,-6.9,,,,,2-1-0,66.7%,33.3%,-1.0,1-5-0,16.7%,83.3%,-22.3,1-4-0,20.0%,80.0%,-18.7,1-0-0,100.0%,0.0%,2.0,0-1-0,0.0%,100.0%,-14.0,1-0-0,100.0%,0.0%,+2.5,0-2-0,0.0%,100.0%,-28.3,1-2-0,33.3%,66.7%,-26.0
W Kentucky,2-4-0,33.3%,66.7%,-4.0,1-2-0,33.3%,66.7%,-8.3,1-3-0,25.0%,75.0%,-8.8,1-1-0,50.0%,50.0%,+3.8,0-3-0,0.0%,100.0%,-18.0,0-2-0,0.0%,100.0%,-12.3,1-2-0,33.3%,66.7%,-0.7,1-2-0,33.3%,66.7%,-7.3,2-2-0,50.0%,50.0%,+0.1,,,,,,,,,1-1-0,50.0%,50.0%,+6.0,0-1-0,0.0%,100.0%,-11.0,1-1-0,50.0%,50.0%,+5.5
Ball St,2-4-0,33.3%,66.7%,-3.1,0-3-0,0.0%,100.0%,-8.3,1-2-0,33.3%,66.7%,-10.8,1-2-0,33.3%,66.7%,-3.2,1-1-0,50.0%,50.0%,0.8,1-1-0,50.0%,50.0%,-4.3,1-3-0,25.0%,75.0%,-8.3,1-1-0,50.0%,50.0%,7.3,1-1-0,50.0%,50.0%,+7.3,0-1-0,0.0%,100.0%,-0.5,,,,,1-0-0,100.0%,0.0%,+2.0,1-1-0,50.0%,50.0%,2.3,1-1-0,50.0%,50.0%,+7.3
Boston Col,3-6-0,33.3%,66.7%,-0.3,1-4-0,20.0%,80.0%,-5.2,0-3-0,0.0%,100.0%,-6.2,0-2-0,0.0%,100.0%,-7.8,3-3-0,50.0%,50.0%,3.2,,,,,0-4-0,0.0%,100.0%,-10.4,3-2-0,60.0%,40.0%,7.7,2-3-0,40.0%,60.0%,+3.3,1-1-0,50.0%,50.0%,-2.3,,,,,1-1-0,50.0%,50.0%,+2.8,1-1-0,50.0%,50.0%,8.8,2-2-0,50.0%,50.0%,+5.0
Alcorn St,3-6-0,33.3%,66.7%,-5.2,1-1-0,50.0%,50.0%,-1.8,2-1-0,66.7%,33.3%,-2.2,2-6-0,25.0%,75.0%,-7.4,,,,,3-6-0,33.3%,66.7%,-5.2,3-6-0,33.3%,66.7%,-5.2,,,,,,,,,,,,,1-3-0,25.0%,75.0%,-6.4,1-1-0,50.0%,50.0%,-9.5,1-4-0,20.0%,80.0%,-4.9,0-2-0,0.0%,100.0%,-7.5
UCSB,2-4-0,33.3%,66.7%,-4.6,0-1-0,0.0%,100.0%,-5.5,0-2-0,0.0%,100.0%,-18.0,0-1-0,0.0%,100.0%,-33.5,2-3-0,40.0%,60.0%,1.2,0-2-0,0.0%,100.0%,-12.3,,,,,2-4-0,33.3%,66.7%,-4.6,2-2-0,50.0%,50.0%,-0.8,,,,,,,,,0-2-0,0.0%,100.0%,-18.0,2-1-0,66.7%,33.3%,4.7,2-2-0,50.0%,50.0%,+2.1
Kansas City,2-4-0,33.3%,66.7%,-2.3,1-2-0,33.3%,66.7%,0.5,1-1-0,50.0%,50.0%,-5.5,1-2-0,33.3%,66.7%,-0.7,1-2-0,33.3%,66.7%,-4.0,1-2-0,33.3%,66.7%,-5.2,0-2-0,0.0%,100.0%,-8.3,2-2-0,50.0%,50.0%,0.6,1-0-0,100.0%,0.0%,+20.5,0-1-0,0.0%,100.0%,-10.5,0-0-0,0.0%,0.0%,--,0-1-0,0.0%,100.0%,-12.0,1-1-0,50.0%,50.0%,-1.8,1-2-0,33.3%,66.7%,+2.5
Oregon St,2-4-0,33.3%,66.7%,-5.0,1-3-0,25.0%,75.0%,-7.4,2-1-0,66.7%,33.3%,+4.7,1-1-0,50.0%,50.0%,-3.5,1-2-0,33.3%,66.7%,-5.7,0-1-0,0.0%,100.0%,-14.0,1-1-0,50.0%,50.0%,-0.5,1-3-0,25.0%,75.0%,-7.3,2-3-0,40.0%,60.0%,-3.2,,,,,,,,,1-1-0,50.0%,50.0%,-0.3,,,,,0-3-0,0.0%,100.0%,-14.7
Loyola Mymt,2-4-0,33.3%,66.7%,-8.9,1-1-0,50.0%,50.0%,-15.5,1-2-0,33.3%,66.7%,-2.8,1-2-0,33.3%,66.7%,-6.0,1-2-0,33.3%,66.7%,-11.8,0-2-0,0.0%,100.0%,-5.8,0-4-0,0.0%,100.0%,-14.8,2-0-0,100.0%,0.0%,2.8,1-1-0,50.0%,50.0%,-15.3,1-0-0,100.0%,0.0%,2.5,,,,,1-2-0,33.3%,66.7%,-2.8,0-1-0,0.0%,100.0%,-14.0,0-2-0,0.0%,100.0%,-23.8
Columbia,3-6-0,33.3%,66.7%,0.8,2-2-0,50.0%,50.0%,5.9,2-0-0,100.0%,0.0%,+10.3,,,,,2-6-0,25.0%,75.0%,-0.9,3-1-0,75.0%,25.0%,10.5,1-0-0,100.0%,0.0%,23.0,2-6-0,25.0%,75.0%,-1.9,0-5-0,0.0%,100.0%,-6.9,,,,,1-1-0,50.0%,50.0%,+8.3,1-1-0,50.0%,50.0%,+0.5,0-3-0,0.0%,100.0%,-5.7,0-5-0,0.0%,100.0%,-5.9
UL Monroe,3-6-0,33.3%,66.7%,3.9,0-1-0,0.0%,100.0%,-2.0,0-1-0,0.0%,100.0%,-2.0,2-4-0,33.3%,66.7%,+6.2,1-2-0,33.3%,66.7%,-0.7,1-3-0,25.0%,75.0%,-10.0,2-6-0,25.0%,75.0%,-5.9,1-0-0,100.0%,0.0%,82.5,2-2-0,50.0%,50.0%,+21.0,0-1-0,0.0%,100.0%,-9.0,2-1-0,66.7%,33.3%,+27.0,1-2-0,33.3%,66.7%,+14.7,2-3-0,40.0%,60.0%,-1.4,1-3-0,25.0%,75.0%,-8.8
Stanford,3-6-0,33.3%,66.7%,1.3,2-3-0,40.0%,60.0%,5.0,0-2-0,0.0%,100.0%,-2.5,1-1-0,50.0%,50.0%,+15.5,2-4-0,33.3%,66.7%,-3.1,0-1-0,0.0%,100.0%,-7.5,0-1-0,0.0%,100.0%,-7.5,3-5-0,37.5%,62.5%,2.4,2-5-0,28.6%,71.4%,+2.1,,,,,,,,,,,,,1-3-0,25.0%,75.0%,-3.4,3-4-0,42.9%,57.1%,+2.4
Hofstra,3-6-0,33.3%,66.7%,-4.5,2-3-0,40.0%,60.0%,0.7,1-2-0,33.3%,66.7%,-11.8,0-3-0,0.0%,100.0%,-6.0,2-3-0,40.0%,60.0%,-6.2,1-2-0,33.3%,66.7%,-3.7,1-4-0,20.0%,80.0%,-11.5,1-2-0,33.3%,66.7%,2.8,2-0-0,100.0%,0.0%,+13.0,0-2-0,0.0%,100.0%,-5.8,,,,,1-1-0,50.0%,50.0%,-16.0,0-2-0,0.0%,100.0%,-6.0,2-2-0,50.0%,50.0%,+1.6
Drake,2-4-0,33.3%,66.7%,-9.2,1-2-0,33.3%,66.7%,-6.3,1-3-0,25.0%,75.0%,-14.6,,,,,2-4-0,33.3%,66.7%,-9.2,,,,,2-1-0,66.7%,33.3%,3.0,0-3-0,0.0%,100.0%,-21.3,0-3-0,0.0%,100.0%,-21.3,0-1-0,0.0%,100.0%,-5.5,1-0-0,100.0%,0.0%,+9.0,1-1-0,50.0%,50.0%,-0.3,0-1-0,0.0%,100.0%,-35.5,,,,
Binghamton,3-6-0,33.3%,66.7%,2.8,3-1-0,75.0%,25.0%,14.6,1-2-0,33.3%,66.7%,+1.5,1-4-0,20.0%,80.0%,-3.6,1-2-0,33.3%,66.7%,5.2,2-3-0,40.0%,60.0%,8.7,3-5-0,37.5%,62.5%,3.6,0-1-0,0.0%,100.0%,-3.5,0-2-0,0.0%,100.0%,-10.0,2-0-0,100.0%,0.0%,23.5,0-1-0,0.0%,100.0%,-1.5,0-2-0,0.0%,100.0%,-9.3,0-3-0,0.0%,100.0%,-4.8,0-3-0,0.0%,100.0%,-8.2
Florida St,3-6-0,33.3%,66.7%,-4.2,0-2-0,0.0%,100.0%,-15.8,1-2-0,33.3%,66.7%,-4.8,0-1-0,0.0%,100.0%,-3.5,3-4-0,42.9%,57.1%,-3.5,1-0-0,100.0%,0.0%,9.5,2-0-0,100.0%,0.0%,6.3,1-6-0,14.3%,85.7%,-7.1,2-3-0,40.0%,60.0%,-6.1,,,,,1-1-0,50.0%,50.0%,+0.5,1-3-0,25.0%,75.0%,-2.3,2-1-0,66.7%,33.3%,1.0,1-3-0,25.0%,75.0%,-6.0
S Car State,3-6-0,33.3%,66.7%,-2.0,1-4-0,20.0%,80.0%,-8.3,2-0-0,100.0%,0.0%,+24.3,1-3-0,25.0%,75.0%,-7.5,1-3-0,25.0%,75.0%,-8.1,2-4-0,33.3%,66.7%,-6.8,1-4-0,20.0%,80.0%,-9.0,2-2-0,50.0%,50.0%,6.8,1-1-0,50.0%,50.0%,+16.0,0-1-0,0.0%,100.0%,-9.0,0-1-0,0.0%,100.0%,-12.5,2-1-0,66.7%,33.3%,+12.0,0-1-0,0.0%,100.0%,-12.5,1-4-0,20.0%,80.0%,-9.0
Lipscomb,3-6-0,33.3%,66.7%,-11.6,1-1-0,50.0%,50.0%,-16.3,1-3-0,25.0%,75.0%,-18.5,1-3-0,25.0%,75.0%,-12.5,1-3-0,25.0%,75.0%,-13.8,2-4-0,33.3%,66.7%,-14.2,2-3-0,40.0%,60.0%,-11.9,1-3-0,25.0%,75.0%,-11.3,1-2-0,33.3%,66.7%,-6.5,,,,,1-1-0,50.0%,50.0%,-8.8,0-2-0,0.0%,100.0%,-20.8,2-3-0,40.0%,60.0%,-6.1,1-2-0,33.3%,66.7%,-4.3
NW State,2-4-0,33.3%,66.7%,-6.5,0-1-0,0.0%,100.0%,-12.5,1-1-0,50.0%,50.0%,0.0,1-2-0,33.3%,66.7%,-6.5,1-2-0,33.3%,66.7%,-6.5,2-2-0,50.0%,50.0%,-3.6,2-3-0,40.0%,60.0%,-5.9,0-1-0,0.0%,100.0%,-9.5,0-2-0,0.0%,100.0%,-12.3,,,,,0-1-0,0.0%,100.0%,-15.0,2-1-0,66.7%,33.3%,0.0,0-2-0,0.0%,100.0%,-13.3,1-2-0,33.3%,66.7%,-8.0
Creighton,3-6-0,33.3%,66.7%,-4.9,2-1-0,66.7%,33.3%,1.0,1-1-0,50.0%,50.0%,+7.3,2-1-0,66.7%,33.3%,+0.5,0-5-0,0.0%,100.0%,-14.9,,,,,1-1-0,50.0%,50.0%,-4.8,2-5-0,28.6%,71.4%,-4.9,1-5-0,16.7%,83.3%,-7.6,1-0-0,100.0%,0.0%,4.5,,,,,1-2-0,33.3%,66.7%,+4.2,0-3-0,0.0%,100.0%,-19.8,1-5-0,16.7%,83.3%,-10.5
Saint Louis,2-4-0,33.3%,66.7%,-1.5,2-0-0,100.0%,0.0%,13.3,1-3-0,25.0%,75.0%,-5.0,0-1-0,0.0%,100.0%,-10.0,1-3-0,25.0%,75.0%,-1.1,,,,,1-1-0,50.0%,50.0%,1.0,1-3-0,25.0%,75.0%,-2.8,1-3-0,25.0%,75.0%,-2.8,,,,,1-0-0,100.0%,0.0%,+21.0,0-2-0,0.0%,100.0%,-6.8,0-2-0,0.0%,100.0%,-11.0,0-1-0,0.0%,100.0%,-10.0
Utah Tech,3-6-0,33.3%,66.7%,-7.1,1-4-0,20.0%,80.0%,-9.6,0-3-0,0.0%,100.0%,-11.8,2-4-0,33.3%,66.7%,-9.0,1-1-0,50.0%,50.0%,-2.0,2-4-0,33.3%,66.7%,-6.2,3-5-0,37.5%,62.5%,-4.4,0-1-0,0.0%,100.0%,-28.5,0-1-0,0.0%,100.0%,-11.5,0-2-0,0.0%,100.0%,-20.0,1-0-0,100.0%,0.0%,+13.0,0-1-0,0.0%,100.0%,-18.0,2-1-0,66.7%,33.3%,0.7,2-1-0,66.7%,33.3%,-0.5
Vermont,3-7-0,30.0%,70.0%,-7.5,0-2-0,0.0%,100.0%,-8.0,0-2-0,0.0%,100.0%,-14.3,1-3-0,25.0%,75.0%,-10.0,2-3-0,40.0%,60.0%,-4.1,0-4-0,0.0%,100.0%,-11.1,0-3-0,0.0%,100.0%,-13.5,3-4-0,42.9%,57.1%,-4.9,2-2-0,50.0%,50.0%,-8.6,0-1-0,0.0%,100.0%,-2.0,0-1-0,0.0%,100.0%,-6.0,0-2-0,0.0%,100.0%,-17.5,3-3-0,50.0%,50.0%,-3.9,3-3-0,50.0%,50.0%,-6.3
N Hampshire,3-7-0,30.0%,70.0%,-7.0,2-4-0,33.3%,66.7%,-2.9,2-0-0,100.0%,0.0%,+16.8,2-5-0,28.6%,71.4%,-7.9,0-2-0,0.0%,100.0%,-21.8,2-4-0,33.3%,66.7%,-4.9,3-6-0,33.3%,66.7%,-7.4,,,,,0-2-0,0.0%,100.0%,-21.5,1-1-0,50.0%,50.0%,1.5,0-2-0,0.0%,100.0%,-7.5,1-0-0,100.0%,0.0%,+4.5,0-3-0,0.0%,100.0%,-18.8,0-4-0,0.0%,100.0%,-22.8
Minnesota,3-7-0,30.0%,70.0%,-7.1,0-4-0,0.0%,100.0%,-19.0,1-1-0,50.0%,50.0%,-2.5,1-2-0,33.3%,66.7%,-10.8,2-4-0,33.3%,66.7%,-4.8,,,,,1-2-0,33.3%,66.7%,2.7,2-5-0,28.6%,71.4%,-11.2,3-5-0,37.5%,62.5%,-6.0,0-1-0,0.0%,100.0%,-19.5,1-0-0,100.0%,0.0%,+10.5,1-1-0,50.0%,50.0%,-3.8,2-2-0,50.0%,50.0%,3.3,1-5-0,16.7%,83.3%,-9.4
E Illinois,2-5-0,28.6%,71.4%,-0.9,2-2-0,50.0%,50.0%,5.3,1-3-0,25.0%,75.0%,+1.8,1-3-0,25.0%,75.0%,-6.4,0-2-0,0.0%,100.0%,-7.3,2-4-0,33.3%,66.7%,0.0,2-4-0,33.3%,66.7%,0.0,0-1-0,0.0%,100.0%,-6.0,0-1-0,0.0%,100.0%,-6.0,,,,,0-0-0,0.0%,0.0%,--,0-3-0,0.0%,100.0%,-9.0,,,,,1-2-0,33.3%,66.7%,-4.3
Missouri St,2-5-0,28.6%,71.4%,8.0,1-2-0,33.3%,66.7%,-0.3,1-3-0,25.0%,75.0%,+14.9,0-2-0,0.0%,100.0%,-7.5,2-2-0,50.0%,50.0%,18.6,0-2-0,0.0%,100.0%,-2.5,2-3-0,40.0%,60.0%,12.7,0-2-0,0.0%,100.0%,-3.8,1-1-0,50.0%,50.0%,+34.0,1-1-0,50.0%,50.0%,1.3,,,,,1-0-0,100.0%,0.0%,+74.0,0-3-0,0.0%,100.0%,-5.7,0-1-0,0.0%,100.0%,-6.0
N Illinois,2-5-0,28.6%,71.4%,-0.9,0-2-0,0.0%,100.0%,-5.0,0-2-0,0.0%,100.0%,-2.3,2-2-0,50.0%,50.0%,+1.6,0-2-0,0.0%,100.0%,-5.8,2-3-0,40.0%,60.0%,3.5,2-5-0,28.6%,71.4%,-0.9,,,,,0-2-0,0.0%,100.0%,-12.0,,,,,0-1-0,0.0%,100.0%,-6.0,1-1-0,50.0%,50.0%,+11.8,1-2-0,33.3%,66.7%,-6.7,2-2-0,50.0%,50.0%,+1.0
Campbell,2-5-0,28.6%,71.4%,-7.2,0-2-0,0.0%,100.0%,-21.3,1-1-0,50.0%,50.0%,+3.0,0-3-0,0.0%,100.0%,-19.0,2-2-0,50.0%,50.0%,1.6,2-3-0,40.0%,60.0%,-3.7,2-3-0,40.0%,60.0%,-3.7,0-2-0,0.0%,100.0%,-16.0,0-2-0,0.0%,100.0%,-16.0,,,,,0-2-0,0.0%,100.0%,-17.8,1-2-0,33.3%,66.7%,-3.2,1-1-0,50.0%,50.0%,0.8,1-2-0,33.3%,66.7%,-7.0
Furman,2-5-0,28.6%,71.4%,-10.0,1-3-0,25.0%,75.0%,-3.8,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+16.5,1-5-0,16.7%,83.3%,-14.4,1-3-0,25.0%,75.0%,-9.8,0-2-0,0.0%,100.0%,-10.3,2-3-0,40.0%,60.0%,-9.9,1-1-0,50.0%,50.0%,-3.3,,,,,,,,,0-0-0,0.0%,0.0%,--,1-2-0,33.3%,66.7%,-18.3,2-5-0,28.6%,71.4%,-10.0
Central Conn,2-5-0,28.6%,71.4%,-9.0,1-2-0,33.3%,66.7%,-7.8,1-3-0,25.0%,75.0%,-11.8,0-3-0,0.0%,100.0%,-13.5,2-1-0,66.7%,33.3%,0.0,1-3-0,25.0%,75.0%,-11.1,2-3-0,40.0%,60.0%,-5.4,0-2-0,0.0%,100.0%,-18.0,0-2-0,0.0%,100.0%,-11.3,,,,,,,,,1-2-0,33.3%,66.7%,-8.2,0-1-0,0.0%,100.0%,-15.0,1-2-0,33.3%,66.7%,-5.3
Miss Val St,2-5-0,28.6%,71.4%,-4.2,0-2-0,0.0%,100.0%,-6.0,1-1-0,50.0%,50.0%,+2.3,1-4-0,20.0%,80.0%,-6.8,1-0-0,100.0%,0.0%,11.0,2-5-0,28.6%,71.4%,-4.2,2-5-0,28.6%,71.4%,-4.2,,,,,0-0-0,0.0%,0.0%,--,,,,,0-1-0,0.0%,100.0%,-9.0,1-0-0,100.0%,0.0%,+11.0,1-3-0,25.0%,75.0%,-7.1,1-3-0,25.0%,75.0%,-6.3
UCSD,2-5-0,28.6%,71.4%,-5.6,1-4-0,20.0%,80.0%,-6.5,0-2-0,0.0%,100.0%,-12.8,1-1-0,50.0%,50.0%,+10.0,1-3-0,25.0%,75.0%,-9.8,0-1-0,0.0%,100.0%,-20.0,0-4-0,0.0%,100.0%,-14.5,2-1-0,66.7%,33.3%,6.3,2-1-0,66.7%,33.3%,+6.3,0-2-0,0.0%,100.0%,-16.3,,,,,1-0-0,100.0%,0.0%,+15.0,0-1-0,0.0%,100.0%,-21.5,2-1-0,66.7%,33.3%,+6.3
Utah St,2-5-0,28.6%,71.4%,-1.4,1-1-0,50.0%,50.0%,4.8,1-3-0,25.0%,75.0%,-0.3,,,,,2-4-0,33.3%,66.7%,-0.5,,,,,0-1-0,0.0%,100.0%,-22.5,2-4-0,33.3%,66.7%,2.2,2-2-0,50.0%,50.0%,+9.9,0-1-0,0.0%,100.0%,-17.0,,,,,0-3-0,0.0%,100.0%,-12.8,1-1-0,50.0%,50.0%,9.8,1-1-0,50.0%,50.0%,+4.3
UNLV,2-5-0,28.6%,71.4%,0.7,2-3-0,40.0%,60.0%,4.3,2-3-0,40.0%,60.0%,+3.4,1-1-0,50.0%,50.0%,-3.0,0-4-0,0.0%,100.0%,-5.9,,,,,0-2-0,0.0%,100.0%,-8.5,2-3-0,40.0%,60.0%,4.4,2-3-0,40.0%,60.0%,+4.4,0-1-0,0.0%,100.0%,-8.5,,,,,0-1-0,0.0%,100.0%,-8.0,0-1-0,0.0%,100.0%,-8.5,0-1-0,0.0%,100.0%,-3.5
Kennesaw St,2-5-0,28.6%,71.4%,-5.1,1-4-0,20.0%,80.0%,-6.3,0-0-0,0.0%,0.0%,--,0-1-0,0.0%,100.0%,-14.5,2-4-0,33.3%,66.7%,-3.6,1-0-0,100.0%,0.0%,14.5,1-4-0,20.0%,80.0%,-6.8,1-1-0,50.0%,50.0%,-1.0,1-2-0,33.3%,66.7%,-1.2,0-2-0,0.0%,100.0%,-14.0,,,,,0-0-0,0.0%,0.0%,--,1-1-0,50.0%,50.0%,-2.3,2-3-0,40.0%,60.0%,-1.6
San Diego,2-5-0,28.6%,71.4%,-7.1,,,,,0-3-0,0.0%,100.0%,-10.7,1-3-0,25.0%,75.0%,-8.5,1-1-0,50.0%,50.0%,-1.3,0-1-0,0.0%,100.0%,-6.5,1-2-0,33.3%,66.7%,-4.8,1-3-0,25.0%,75.0%,-8.9,2-4-0,33.3%,66.7%,-7.3,,,,,0-2-0,0.0%,100.0%,-14.0,0-4-0,0.0%,100.0%,-12.4,2-1-0,66.7%,33.3%,-0.2,2-0-0,100.0%,0.0%,+5.0
Cleveland St,2-6-0,25.0%,75.0%,-7.6,1-1-0,50.0%,50.0%,-8.3,1-0-0,100.0%,0.0%,+7.0,0-3-0,0.0%,100.0%,-14.8,1-3-0,25.0%,75.0%,-5.9,1-3-0,25.0%,75.0%,-7.5,1-4-0,20.0%,80.0%,-9.0,1-2-0,33.3%,66.7%,-5.3,1-3-0,25.0%,75.0%,-7.8,,,,,0-0-0,0.0%,0.0%,--,1-2-0,33.3%,66.7%,-2.5,0-3-0,0.0%,100.0%,-12.3,1-6-0,14.3%,85.7%,-9.7
Pacific,2-6-0,25.0%,75.0%,-6.1,1-1-0,50.0%,50.0%,1.5,0-1-0,0.0%,100.0%,-4.0,1-3-0,25.0%,75.0%,-7.3,1-3-0,25.0%,75.0%,-4.9,1-3-0,25.0%,75.0%,1.8,2-3-0,40.0%,60.0%,2.1,0-3-0,0.0%,100.0%,-19.7,0-3-0,0.0%,100.0%,-19.7,0-1-0,0.0%,100.0%,-0.5,0-1-0,0.0%,100.0%,-3.0,0-2-0,0.0%,100.0%,-19.8,1-3-0,25.0%,75.0%,-3.0,2-3-0,40.0%,60.0%,-8.2
Michigan,2-6-0,25.0%,75.0%,-10.8,1-1-0,50.0%,50.0%,-7.8,1-3-0,25.0%,75.0%,-9.9,0-1-0,0.0%,100.0%,-13.0,1-5-0,16.7%,83.3%,-13.4,0-1-0,0.0%,100.0%,-19.5,0-1-0,0.0%,100.0%,-19.5,2-5-0,28.6%,71.4%,-9.6,2-2-0,50.0%,50.0%,-5.5,,,,,0-1-0,0.0%,100.0%,-22.5,0-3-0,0.0%,100.0%,-15.5,1-2-0,33.3%,66.7%,-8.2,1-2-0,33.3%,66.7%,-8.2
Boston U,2-6-0,25.0%,75.0%,-3.9,2-2-0,50.0%,50.0%,-2.0,1-2-0,33.3%,66.7%,+1.8,1-3-0,25.0%,75.0%,-9.9,0-3-0,0.0%,100.0%,-2.2,1-2-0,33.3%,66.7%,-10.7,1-3-0,25.0%,75.0%,-9.0,1-3-0,25.0%,75.0%,1.1,1-3-0,25.0%,75.0%,+1.1,0-1-0,0.0%,100.0%,-4.0,,,,,0-2-0,0.0%,100.0%,-9.0,0-2-0,0.0%,100.0%,-2.8,1-3-0,25.0%,75.0%,-8.3
Duquesne,2-6-0,25.0%,75.0%,-6.9,1-4-0,20.0%,80.0%,-8.0,1-3-0,25.0%,75.0%,-6.3,1-5-0,16.7%,83.3%,-8.2,0-1-0,0.0%,100.0%,-7.0,0-1-0,0.0%,100.0%,-2.0,0-3-0,0.0%,100.0%,-7.3,2-3-0,40.0%,60.0%,-6.7,2-1-0,66.7%,33.3%,-1.2,0-2-0,0.0%,100.0%,-15.0,,,,,0-2-0,0.0%,100.0%,-9.3,1-0-0,100.0%,0.0%,3.0,1-1-0,50.0%,50.0%,-0.3
Tulane,2-6-0,25.0%,75.0%,-5.0,1-3-0,25.0%,75.0%,-6.6,0-1-0,0.0%,100.0%,-1.0,1-3-0,25.0%,75.0%,-8.3,1-3-0,25.0%,75.0%,-1.8,0-1-0,0.0%,100.0%,-11.0,0-1-0,0.0%,100.0%,-11.0,2-5-0,28.6%,71.4%,-4.1,1-4-0,20.0%,80.0%,-2.9,1-0-0,100.0%,0.0%,1.0,,,,,0-3-0,0.0%,100.0%,-15.2,1-0-0,100.0%,0.0%,32.0,1-5-0,16.7%,83.3%,-6.7
TX A&M-Com,2-6-0,25.0%,75.0%,-3.6,2-2-0,50.0%,50.0%,0.1,1-3-0,25.0%,75.0%,-10.4,1-5-0,16.7%,83.3%,-1.8,0-1-0,0.0%,100.0%,-20.0,2-4-0,33.3%,66.7%,-1.0,2-6-0,25.0%,75.0%,-3.6,,,,,0-2-0,0.0%,100.0%,-11.5,,,,,1-2-0,33.3%,66.7%,+6.0,0-1-0,0.0%,100.0%,-14.5,0-3-0,0.0%,100.0%,-5.0,0-1-0,0.0%,100.0%,-5.5
NC State,2-6-0,25.0%,75.0%,-10.3,1-2-0,33.3%,66.7%,-10.0,2-3-0,40.0%,60.0%,-8.2,0-2-0,0.0%,100.0%,-22.8,1-4-0,20.0%,80.0%,-10.5,,,,,0-3-0,0.0%,100.0%,-20.3,2-3-0,40.0%,60.0%,-4.3,2-4-0,33.3%,66.7%,-7.8,0-1-0,0.0%,100.0%,-20.0,,,,,1-2-0,33.3%,66.7%,-1.5,0-2-0,0.0%,100.0%,-24.0,0-2-0,0.0%,100.0%,-10.8
Wichita St,2-6-0,25.0%,75.0%,-2.8,1-1-0,50.0%,50.0%,3.0,2-3-0,40.0%,60.0%,+3.2,0-1-0,0.0%,100.0%,-9.5,1-5-0,16.7%,83.3%,-5.9,1-0-0,100.0%,0.0%,22.5,0-1-0,0.0%,100.0%,-16.5,2-5-0,28.6%,71.4%,-0.9,1-3-0,25.0%,75.0%,-5.5,0-1-0,0.0%,100.0%,-16.5,,,,,1-4-0,20.0%,80.0%,-5.0,0-1-0,0.0%,100.0%,-3.5,0-2-0,0.0%,100.0%,-11.0
